epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,471.167,1.04852,0.81572,1.09484,0.94516,0.95191,0.95274,0.64144,1.13509,0.70655,1.13332,0.000990365,0.000990365,0.000990365
43,485.084,1.01062,0.76652,1.06466,0.97563,0.92857,0.98256,0.65827,1.14971,0.69606,1.14509,0.000973861,0.000973861,0.000973861
44,497.829,1.02561,0.76161,1.08312,0.95189,0.92857,0.9549,0.63209,1.15072,0.69069,1.12853,0.000957358,0.000957358,0.000957358
45,510.439,0.96899,0.74893,1.04076,0.97609,0.99662,0.995,0.66343,1.13909,0.61088,1.09604,0.000940855,0.000940855,0.000940855
46,523.999,0.99338,0.76327,1.0532,0.97227,0.9965,0.995,0.63335,1.24414,0.64597,1.1515,0.000924352,0.000924352,0.000924352
47,537.53,1.01529,0.76574,1.0557,0.97504,0.99455,0.995,0.64862,1.1991,0.6476,1.13527,0.000907848,0.000907848,0.000907848
48,549.874,0.99358,0.73783,1.05026,0.99075,0.96429,0.9813,0.65157,1.13459,0.69189,1.10945,0.000891345,0.000891345,0.000891345
49,563.973,0.97477,0.725,1.03009,0.97731,0.99617,0.995,0.63266,1.28468,0.65445,1.18161,0.000874842,0.000874842,0.000874842
50,577.707,0.96013,0.71142,1.04644,0.98303,1,0.995,0.63916,1.26106,0.64624,1.17805,0.000858338,0.000858338,0.000858338
51,593.014,0.95408,0.72912,1.06088,0.98364,1,0.995,0.64278,1.15671,0.62234,1.12501,0.000841835,0.000841835,0.000841835
52,607.453,0.93215,0.70709,1.02217,0.98363,0.99438,0.995,0.69668,1.08668,0.59942,1.1035,0.000825332,0.000825332,0.000825332
53,621.503,0.93505,0.68982,1.03462,0.98213,0.99359,0.995,0.70433,1.04638,0.58731,1.07566,0.000808828,0.000808828,0.000808828
54,634.903,0.9088,0.67334,1.02999,0.98936,0.96429,0.98882,0.65629,1.1327,0.61362,1.10931,0.000792325,0.000792325,0.000792325
55,649.495,0.90032,0.65163,1.0145,0.98849,0.96429,0.96036,0.61022,1.30445,0.63176,1.22323,0.000775822,0.000775822,0.000775822
56,663.919,0.92169,0.66938,1.01422,0.98809,0.95854,0.98042,0.64439,1.24262,0.6067,1.15892,0.000759318,0.000759318,0.000759318
57,677.317,0.91821,0.66049,1.01474,0.98816,0.96429,0.98882,0.658,1.25185,0.6406,1.1548,0.000742815,0.000742815,0.000742815
58,691.41,0.92957,0.68901,1.02626,0.9889,0.96429,0.98882,0.65785,1.28348,0.67326,1.21131,0.000726312,0.000726312,0.000726312
59,703.217,0.9052,0.65419,1.00147,0.98309,1,0.995,0.67989,1.18355,0.61804,1.14047,0.000709809,0.000709809,0.000709809
60,716.622,0.88772,0.6416,0.98783,0.98033,1,0.995,0.67942,1.19629,0.56973,1.15427,0.000693305,0.000693305,0.000693305
61,730.481,0.87196,0.64875,1.00477,0.97474,1,0.995,0.66899,1.15834,0.57797,1.12513,0.000676802,0.000676802,0.000676802
62,746.397,0.91878,0.63355,1.00035,0.97924,0.96275,0.96057,0.65059,1.14445,0.59652,1.14016,0.000660299,0.000660299,0.000660299
63,759.558,0.85326,0.63142,0.99377,0.98912,0.96429,0.96058,0.65325,1.1421,0.56637,1.14751,0.000643795,0.000643795,0.000643795
64,774.754,0.89244,0.62977,1.02184,0.99277,0.96429,0.99267,0.66675,1.13297,0.56143,1.1425,0.000627292,0.000627292,0.000627292
65,789.795,0.82504,0.60423,0.97289,0.98593,0.96429,0.9609,0.67036,1.12584,0.55343,1.12656,0.000610789,0.000610789,0.000610789
66,804.98,0.85797,0.59959,0.98368,0.97752,0.96429,0.96107,0.67613,1.14463,0.56346,1.12035,0.000594286,0.000594286,0.000594286
67,819.971,0.83931,0.60978,0.98587,0.98356,0.96429,0.99063,0.68553,1.10659,0.59129,1.11228,0.000577782,0.000577782,0.000577782
68,833.644,0.82663,0.58999,0.99316,0.98788,0.96429,0.99063,0.69226,1.06931,0.56568,1.10336,0.000561279,0.000561279,0.000561279
