epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1526.57,2.08044,2.21724,2.21342,0.52275,0.71667,0.76118,0.42346,1.63569,1.84276,1.83929,0.00132868,0.00132868,0.00132868
43,1562.78,2.0885,2.25156,2.2148,0.53742,0.68095,0.70446,0.36004,1.68791,1.73509,1.87194,0.00132043,0.00132043,0.00132043
44,1599.93,2.0606,2.20717,2.16084,0.67387,0.77574,0.79945,0.38226,1.66659,1.6315,1.90832,0.00131218,0.00131218,0.00131218
45,1636.47,2.04266,2.06565,2.12294,0.50453,0.61429,0.59773,0.32162,1.82962,1.82469,2.01905,0.00130393,0.00130393,0.00130393
46,1672.95,1.99119,2.12403,2.10202,0.69836,0.61429,0.67806,0.3335,1.7418,1.67455,1.95804,0.00129568,0.00129568,0.00129568
47,1708.34,2.05434,2.11648,2.18196,0.68782,0.78459,0.76372,0.40692,1.6609,1.60976,1.88774,0.00128742,0.00128742,0.00128742
48,1744.85,1.96899,2.05821,2.111,0.75497,0.7075,0.80205,0.40772,1.63595,1.52936,1.87231,0.00127917,0.00127917,0.00127917
49,1781.28,2.04174,2.04877,2.11901,0.64028,0.78342,0.82855,0.44434,1.64333,1.4338,1.8648,0.00127092,0.00127092,0.00127092
50,1817.56,1.98354,2.02487,2.13628,0.66844,0.82381,0.80003,0.40826,1.73436,1.46016,1.92101,0.00126267,0.00126267,0.00126267
51,1854.14,1.98435,2.03942,2.07802,0.7637,0.6881,0.80468,0.45223,1.61756,1.55651,1.81326,0.00125442,0.00125442,0.00125442
52,1890.6,1.98467,2.05268,2.08161,0.83863,0.67874,0.76236,0.38965,1.66315,1.54634,1.88085,0.00124617,0.00124617,0.00124617
53,1927.14,1.9928,2.04982,2.10891,0.83391,0.68095,0.82328,0.46222,1.60389,1.35861,1.79982,0.00123791,0.00123791,0.00123791
54,1962.98,1.9789,1.95657,2.05744,0.70317,0.78571,0.84329,0.46561,1.59411,1.38712,1.8284,0.00122966,0.00122966,0.00122966
55,2000.03,1.97943,1.90574,2.09909,0.82105,0.85024,0.84368,0.4424,1.75615,1.43457,1.93048,0.00122141,0.00122141,0.00122141
56,2036.47,1.87023,1.84887,2.0233,0.8512,0.80476,0.85182,0.49609,1.56243,1.35227,1.78358,0.00121316,0.00121316,0.00121316
57,2073.12,1.88588,1.93111,2.053,0.82705,0.71905,0.80447,0.49455,1.52216,1.33679,1.74769,0.00120491,0.00120491,0.00120491
58,2110.08,1.90194,1.92928,2.06281,0.77343,0.85187,0.80745,0.46098,1.62149,1.37063,1.81716,0.00119666,0.00119666,0.00119666
59,2146.49,1.95511,1.86787,1.99723,0.81222,0.75714,0.85456,0.47068,1.65219,1.32518,1.82331,0.0011884,0.0011884,0.0011884
